time,accel_z
1678475827.913258,3
1678475827.9132879,4
1678475827.9134688,3
1678475827.913599,3
1678475827.91374,4
1678475827.9170911,4
1678475827.9172852,4
1678475827.918108,4
1678475827.918195,4
1678475827.919127,3
1678475827.91995,4
1678475827.9201732,4
1678475827.9211872,4
1678475827.921206,4
1678475827.921469,4
1678475827.922101,4
1678475827.9222,4
1678475827.922903,3
1678475827.922962,3
1678475827.923719,4
1678475827.9237509,4
1678475827.924507,4
1678475827.924582,4
1678475827.925062,4
1678475827.925144,4
1678475827.925716,4
1678475827.925816,3
1678475827.926365,3
1678475827.926385,3
1678475827.9267032,3
1678475827.9267259,3
1678475827.9267452,4
1678475827.927315,4
1678475827.927412,3
1678475827.927837,4
1678475827.927861,5
1678475827.928364,4
1678475827.9284558,3
1678475827.9289038,4
1678475827.929031,3
1678475827.92956,4
1678475827.929621,3
1678475827.93024,4
1678475827.930258,3
1678475827.930275,3
1678475827.930923,4
1678475827.930974,4
1678475827.930995,4
1678475827.931386,4
1678475827.931815,4
1678475827.931835,3
1678475827.932308,4
1678475827.93239,4
1678475827.932409,3
1678475827.9327621,4
1678475827.933151,4
1678475827.9332428,4
1678475827.93353,3
1678475827.933608,4
1678475827.9337118,4
1678475827.9338381,4
1678475827.93393,3
1678475827.935339,3
1678475827.935426,4
1678475827.935931,4
1678475827.936069,3
1678475827.936095,4
1678475827.9361122,4
1678475827.936127,4
1678475827.936243,4
1678475827.936262,4
1678475827.93628,3
1678475827.936355,4
1678475827.9363961,3
1678475827.9364228,3
1678475827.9364932,4
1678475827.936508,4
1678475827.936522,4
1678475827.936543,3
1678475827.936558,4
1678475827.937657,4
1678475830.660288,29
1678475830.6882849,25
1678475830.688396,28
1678475830.688889,23
1678475830.688925,6
1678475830.688965,1998
1678475830.690225,1984
1678475830.690321,1982
1678475830.6903942,1989
1678475830.6904771,1985
1678475830.6918101,1988
1678475830.692,1999
1678475830.700795,1993
1678475830.701484,1992
1678475830.7019432,1998
1678475830.7024288,1993
1678475830.703916,1993
1678475830.703941,1994
1678475830.7113001,1990
1678475830.7120829,1993
1678475830.7125561,1994
1678475830.7130291,1992
1678475830.7135181,1993
1678475830.7190132,1990
1678475830.719747,1989
1678475830.720233,1988
1678475830.727288,1989
1678475830.727318,1989
1678475830.727339,1984
1678475830.737431,1984
1678475830.739414,1981
1678475830.739541,1976
1678475830.739737,1979
1678475830.7464662,1982
1678475830.753551,1989
1678475830.754666,1997
1678475830.755629,7
1678475830.791821,6
1678475830.791853,6
1678475830.791971,6
1678475830.7920032,2000
1678475830.818901,1993
1678475830.819793,1989
1678475830.820648,1984
1678475830.823207,1982
1678475830.824472,1979
1678475830.8244941,1975
1678475830.8246248,1977
1678475830.825471,1975
1678475830.825504,1975
1678475830.8259368,1973
1678475830.8260832,1971
1678475830.8263721,1971
1678475830.8265111,1974
1678475830.827117,1967
1678475830.827232,1974
1678475830.827619,1977
1678475830.827723,1977
1678475830.8282151,1978
1678475830.828243,1983
1678475830.8282611,1987
1678475830.828863,1988
1678475830.8585758,1989
1678475830.8592682,1986
1678475830.859749,1987
1678475830.8602219,1985
1678475830.86166,1989
1678475830.8622458,1984
1678475830.862519,1985
1678475830.8625422,1986
1678475830.862556,1987
1678475830.86257,1987
1678475830.862585,1991
1678475830.8625998,1997
1678475830.862615,3
1678475830.8626308,8
1678475830.862696,11
1678475830.862769,14
1678475831.003905,17
1678475831.0042188,23
1678475831.004255,25
1678475831.004274,29
1678475831.004298,29
1678475831.004413,27
1678475831.004645,25
1678475831.0046709,19
1678475831.0047302,14
1678475831.0048902,7
1678475831.0049438,2
1678475831.005193,2
1678475831.005429,1999
1678475831.00558,1999
1678475831.005682,1998
1678475831.0057201,1999
1678475831.006181,2000
1678475831.006368,4
1678475831.0068119,8
1678475831.006925,10
1678475831.006994,13
1678475831.007137,15
1678475831.007284,17
1678475831.007387,15
1678475831.007467,12
1678475831.007714,9
1678475831.007735,5
1678475831.007754,1999
1678475831.0079648,1995
1678475831.007999,1993
1678475831.008053,1991
1678475831.024158,1991
1678475831.0242848,1992
1678475831.024469,1995
1678475831.024725,1997
1678475831.0247521,1998
1678475831.025069,1999
1678475831.025187,1998
1678475831.026162,1998
1678475831.026263,1996
1678475831.026345,1995
1678475831.02654,1993
1678475831.0265942,1992
1678475831.0267131,1991
1678475831.0268779,1991
1678475831.02702,1992
1678475831.027043,1993
1678475831.027261,1996
1678475831.027356,1
1678475831.027412,5
1678475831.027446,9
1678475831.027564,17
1678475831.0277162,17
1678475831.0278761,23
1678475831.028051,22
1678475831.0280802,25
1678475831.028256,22
1678475831.0283048,22
1678475831.028453,19
1678475831.028515,17
1678475831.0287008,16
1678475831.0289001,16
1678475831.02904,17
1678475831.029118,18
1678475831.029139,20
1678475831.02937,23
1678475831.02939,21
1678475831.0294259,31
1678475831.1444821,26
1678475831.144508,31
1678475831.144521,31
1678475831.1445389,35
1678475831.144674,33
1678475831.1447098,30
1678475831.144728,27
1678475831.144741,23
1678475831.144753,17
1678475831.144765,13
1678475831.144777,8
1678475831.144789,4
1678475831.1448069,1
1678475831.144875,1998
1678475831.144945,1998
1678475831.144959,2000
1678475831.144971,2
1678475831.144983,6
1678475831.145,6
1678475831.145061,8
1678475831.14513,8
1678475831.1451461,7
1678475831.14516,1
1678475831.1451719,1999
1678475831.145184,1995
1678475831.1451972,1992
1678475831.14521,1992
1678475831.145222,1989
1678475831.14524,1989
1678475831.145314,1989
1678475831.145335,1989
1678475831.145349,1989
1678475831.145361,1990
1678475831.1453729,1991
1678475831.145385,1993
1678475831.145397,1994
1678475831.145408,1998
1678475831.145427,10
1678475831.1686988,12
1678475831.16874,27
1678475831.168807,36
1678475831.168851,42
1678475831.1689548,46
1678475831.168975,2000
1678475831.1689868,1999
1678475831.169248,5
1678475831.169281,4
1678475831.169301,6
1678475831.16935,8
1678475831.169389,8
1678475831.16941,10
1678475831.1695209,11
1678475831.16956,12
1678475831.182466,15
1678475831.182524,18
1678475831.182844,19
1678475831.1828759,14
1678475831.183682,10
1678475831.194133,7
1678475831.194349,5
1678475831.194735,4
1678475831.195007,4
1678475831.1954198,3
1678475831.201836,6
1678475831.2018938,11
1678475831.201961,11
1678475831.234953,14
1678475831.234987,14
1678475831.23507,15
1678475831.235095,15
1678475831.2351098,14
1678475831.235175,13
1678475831.235204,2000
1678475831.235219,1997
1678475831.2352371,1991
1678475831.2352982,1990
1678475831.235328,1987
1678475831.235423,1985
1678475831.235528,1986
1678475831.244848,1989
1678475831.244877,1994
1678475831.244899,1999
1678475831.2449841,3
1678475831.29156,7
1678475831.291595,12
1678475831.291612,16
1678475831.2916322,17
1678475831.2916942,18
1678475831.2917068,19
1678475831.291768,13
1678475831.291996,13
1678475831.3317702,12
1678475831.331799,13
1678475831.331881,9
1678475831.33196,5
1678475831.3320708,4
1678475831.332169,3
1678475831.332204,3
1678475831.332221,2
1678475831.332242,2
1678475831.332315,3
1678475831.332345,5
1678475831.332416,5
1678475831.3324952,6
1678475831.332557,7
1678475831.332625,8
1678475831.3326771,10
1678475831.332701,10
1678475831.3328052,11
1678475831.3328362,11
1678475831.332884,11
1678475831.333046,11
1678475831.354503,11
1678475831.354625,9
1678475831.360512,3
1678475831.3607051,1
1678475831.360727,2
1678475831.360794,3
1678475831.360867,4
1678475831.3608909,5
1678475831.361015,3
1678475831.361114,4
1678475831.3611772,4
1678475831.361203,4
1678475831.361253,4
1678475831.361307,3
1678475831.3613288,3
1678475831.3614569,4
1678475831.361519,3
1678475831.369487,4
1678475831.3695638,4
1678475831.369631,3
1678475831.369654,3
1678475831.3696718,4
1678475831.36973,4
1678475831.370163,4
1678475831.387586,4
1678475831.387876,5
1678475831.388285,4
1678475831.388545,4
1678475831.388586,4
1678475831.388682,5
1678475831.3890948,4
1678475831.406844,4
1678475831.4070568,4
1678475831.407219,4
1678475831.407304,4
1678475831.407391,4
1678475831.407615,4
1678475831.407837,4
1678475831.407983,5
1678475831.4324381,4
1678475831.4324899,4
1678475831.432596,4
1678475831.432619,4
1678475831.432639,4
1678475831.4326699,4
1678475831.4326851,4
1678475831.432704,3
1678475831.447826,4
1678475831.448016,4
1678475831.4482481,5
1678475831.448321,4
1678475831.4483771,4
1678475831.448407,4
1678475831.448558,5
1678475831.465203,4
1678475831.466377,4
1678475831.466465,4
1678475831.466491,4
1678475831.4665759,4
1678475831.4666061,4
1678475831.477789,4
1678475831.4779909,4
1678475831.478218,3
1678475831.478325,3
1678475831.4783812,4
1678475831.478415,3
1678475831.478512,4
1678475831.47866,4
1678475831.487031,3
1678475831.488294,4
1678475831.490315,3
1678475831.491934,3
1678475831.5024488,3
1678475831.502479,3
1678475831.5024981,3
1678475831.502517,3
1678475831.502696,4
1678475831.502937,3
1678475831.516385,2
1678475831.516551,3
1678475831.51707,4
1678475831.517152,3
1678475831.517247,3
1678475831.517292,4
1678475831.533375,3
1678475831.5334022,5
1678475831.533458,4
1678475831.5336509,4
1678475831.533675,2
1678475831.5337012,2
1678475831.5337448,3
1678475831.561329,3
1678475831.561364,4
1678475831.561383,3
1678475831.561413,4
1678475831.5614789,4
1678475831.561717,4
1678475831.561768,4
1678475831.561833,4
1678475831.561864,3
1678475831.5619268,3
1678475831.602665,3
1678475831.6027122,4
1678475831.602731,4
1678475831.602814,4
1678475831.602983,4
1678475831.603006,4
1678475831.603074,4
1678475831.603115,4
1678475831.603128,4
1678475831.603145,4
1678475831.603157,3
1678475831.6031969,5
1678475831.603216,3
1678475831.603232,4
1678475831.603244,4
1678475831.6032588,4
1678475831.6033359,3
1678475831.603359,4
1678475831.612521,4
1678475831.612772,4
1678475831.613139,4
1678475831.613173,3
1678475831.613271,4
1678475831.632,4
1678475831.632044,3
1678475831.6322079,3
1678475831.632233,5
1678475831.632352,3
1678475831.632395,4
1678475831.65062,4
1678475831.650947,4
1678475831.65135,4
1678475831.6513731,4
1678475831.651412,4
1678475831.651514,3
1678475831.651537,4
1678475831.675798,4
1678475831.6758232,3
1678475831.6758451,4
1678475831.67593,4
1678475831.675955,4
1678475831.675971,4
1678475831.6759849,4
1678475831.6760619,4
1678475831.676127,4
1678475831.67618,3
1678475831.6762052,4
1678475831.676258,3
1678475831.694911,4
1678475831.6949382,4
1678475831.694952,4
1678475831.694964,4
1678475831.694981,4
1678475831.69508,4
1678475831.695097,4
1678475831.703881,4
1678475831.703906,4
1678475831.703927,4
1678475831.703947,4
1678475831.7283,4
1678475831.7284439,4
1678475831.728468,4
1678475831.728558,5
1678475831.7286541,5
1678475831.728699,4
1678475831.7287512,4
1678475831.728775,4
1678475831.746272,4
1678475831.747319,4
1678475831.74794,4
1678475831.748503,4
1678475831.749225,4
1678475831.749704,4
1678475831.7502441,4
1678475831.750912,4
1678475831.780969,4
1678475831.780994,5
1678475831.781009,4
1678475831.781027,4
1678475831.7811131,3
1678475831.7811341,5
1678475831.781153,4
1678475831.781225,4
1678475831.781251,4
1678475831.781313,4
1678475831.781336,5
1678475831.7814028,4
1678475831.7814221,3
1678475831.78157,4
1678475831.814055,4
1678475831.814292,4
1678475831.8143291,4
1678475831.814429,4
1678475831.814583,4
1678475831.81482,4
1678475831.814858,4
1678475831.814966,4
1678475831.8149881,4
1678475831.8150241,4
1678475831.81508,4
1678475831.815104,5
1678475831.815119,4
1678475831.815132,5
1678475831.815145,4
1678475831.815254,4
1678475831.815275,4
1678475831.8439,4
