"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.686270833E-2,-1.505407331E-1,-9.655324481E-2,-3.404424369E-2,1.820550794E-1
2.683170834E-2,-3.285484694E-2,-4.117543481E-2,-1.076800430E0,1.078088134E0
3.679970834E-2,2.379491519E-2,1.675028114E-1,-3.403617454E-1,3.800914462E-1
4.676870834E-2,1.061207514E-1,2.801001581E-1,6.222782314E-1,6.906141540E-1
5.673770834E-2,1.055541928E-1,1.009104803E-1,4.196318632E-1,4.443146557E-1
6.670570833E-2,8.116531011E-2,-5.219739977E-2,-3.814056909E-1,3.934242966E-1
7.667470834E-2,6.173614539E-2,1.579504710E-2,-3.722021735E-1,3.776179195E-1
8.664370833E-2,-2.992871750E-2,5.545535870E-2,2.566459894E-1,2.642691598E-1
9.661170834E-2,-1.084146507E-1,-8.003994036E-2,2.449310929E-1,2.795556631E-1
1.065807083E-1,-1.940552004E-2,-1.341116286E-1,-1.468855655E-1,1.998446209E-1
1.165497083E-1,1.475046029E-1,-1.669347178E-2,-2.295008755E-1,2.733256880E-1
1.265177083E-1,1.931816263E-1,9.859348454E-2,1.745738858E-1,2.784166977E-1
1.364867083E-1,1.054703218E-1,7.981559001E-2,1.949947017E-1,2.356214143E-1
1.464557083E-1,1.491208099E-2,4.470945541E-2,-8.137628496E-2,9.403938173E-2
1.564237083E-1,-1.030136872E-2,7.673622698E-2,-2.153892052E-1,2.288822327E-1
1.663927083E-1,-4.648258701E-2,1.031020167E-1,-6.233365774E-2,1.291361360E-1
1.763617083E-1,-5.582475655E-2,2.889427196E-2,1.078928232E-2,6.377845254E-2
1.863307083E-1,2.251492314E-2,-1.495253641E-2,-1.369067073E-2,3.029743511E-2
1.962987083E-1,1.430819152E-1,-4.546831436E-3,4.361438155E-3,1.432205651E-1
2.062677083E-1,1.521665514E-1,-1.360325485E-2,6.321717203E-2,1.653363806E-1
2.162367083E-1,9.839617755E-2,-1.854470026E-2,8.548044562E-2,1.316534096E-1
2.262047083E-1,4.606655762E-3,-1.978065547E-2,2.166627288E-2,2.969718822E-2
2.361737083E-1,-6.136199668E-2,2.646223225E-2,-6.513564348E-2,9.331771763E-2
2.461427083E-1,-4.007561009E-2,7.276012033E-2,-1.047002435E-1,1.336496563E-1
2.561107083E-1,2.554374430E-2,9.529134259E-2,-2.167972147E-2,1.010095697E-1
2.660797083E-1,7.803324904E-2,7.766491100E-2,1.330533922E-2,1.108966113E-1
2.760487083E-1,1.411724704E-1,5.837750472E-2,2.152593970E-2,1.542756155E-1
2.860167083E-1,1.263262802E-1,6.603892867E-2,2.364847898E-2,1.444947048E-1
2.959857083E-1,3.181415219E-2,3.070500847E-2,2.294388950E-2,4.981325014E-2
3.059547083E-1,-6.231162105E-2,-1.127544176E-2,-3.706550002E-2,7.337387135E-2
3.159227083E-1,-7.195740726E-2,-1.657312877E-2,-7.453211904E-2,1.049169854E-1
3.258917083E-1,-1.164078310E-2,-1.023076359E-2,-3.268944383E-2,3.617701055E-2
3.358607083E-1,7.445303544E-2,-1.031496350E-2,2.370695114E-2,7.881416428E-2
3.458287083E-1,1.255861689E-1,-6.297414713E-3,5.381952703E-2,1.367775008E-1
3.557977083E-1,1.299589360E-1,3.028956380E-2,4.042297125E-2,1.394302669E-1
3.657667083E-1,9.524204325E-2,7.303249095E-2,-2.019043565E-3,1.200369446E-1
3.757347083E-1,-2.815580517E-3,7.285122726E-2,-1.651078284E-2,7.475182110E-2
3.857037083E-1,-4.273316961E-2,5.339812551E-2,-7.161085010E-2,9.902321669E-2
3.956727083E-1,-2.303170737E-2,5.313598752E-2,-4.216427207E-2,7.163601436E-2
4.056407083E-1,1.980378851E-2,4.018758427E-2,-2.127041638E-2,4.959498545E-2
4.156097083E-1,9.123194966E-2,1.230312645E-2,-8.593652844E-3,9.245802523E-2
4.255787083E-1,1.268630546E-1,-9.128855802E-3,3.363610804E-2,1.315635147E-1
4.355477083E-1,8.963332091E-2,-1.504634768E-2,4.881489515E-2,1.031669462E-1
4.455157083E-1,1.006046344E-2,-1.163921166E-2,2.131427050E-2,2.628654217E-2
4.554847083E-1,-7.365810648E-3,9.866080061E-4,-4.303960025E-2,4.367648969E-2
4.654537083E-1,-3.939155895E-2,3.951467939E-2,-3.092299998E-2,6.379135311E-2
4.754217083E-1,-1.215478990E-2,3.915324837E-2,-9.992891550E-3,4.219684416E-2
4.853907083E-1,5.846097372E-2,4.138439968E-2,-1.196808100E-2,7.261948050E-2
4.953597083E-1,1.127474009E-1,5.169877846E-2,-5.538482666E-3,1.241588293E-1
5.053277083E-1,1.125347450E-1,5.328662641E-2,2.352334857E-2,1.267157501E-1
5.152967083E-1,5.322084524E-2,4.449723803E-2,1.112432778E-2,7.025818976E-2
