"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.347250008E-3,5.196738127E-1,2.137513270E-1,-1.220599836E0,1.343731543E0
1.731625000E-2,1.807468645E-1,1.317098847E-1,-1.073145921E0,1.096202121E0
2.728525001E-2,-2.284512272E-1,-3.253975511E-4,3.853794587E-1,4.480037904E-1
3.725325000E-2,-1.878870091E-1,-5.766140353E-2,4.517459410E-1,4.926466897E-1
4.722225001E-2,-2.480737885E-1,-1.300809235E-1,-1.863285434E-1,3.364223199E-1
5.719125000E-2,-3.031702744E-1,-6.853854027E-2,-2.490691674E-1,3.983028959E-1
6.716025001E-2,-2.558653861E-1,-3.152840607E-2,-9.837472558E-2,2.759324607E-1
7.712925000E-2,-2.332533992E-1,-8.911997192E-3,5.971761346E-2,2.409414146E-1
8.709825001E-2,-2.218592224E-1,-3.189933881E-2,-6.940644979E-3,2.242481994E-1
9.706625000E-2,-2.215227152E-1,-4.164562404E-2,-1.768455291E-1,2.864978403E-1
1.070352500E-1,-2.011485856E-1,-4.719474133E-2,-2.699016273E-2,2.083664224E-1
1.170042500E-1,-1.012745060E-1,2.858930312E-2,2.003156680E-1,2.262747018E-1
1.269732500E-1,1.847653269E-1,1.342188519E-1,-6.170742095E-2,2.365602080E-1
1.369422500E-1,3.842118428E-1,1.603768462E-1,-2.315006232E-1,4.763738149E-1
1.469112500E-1,4.994121507E-1,2.038053594E-1,2.981390011E-1,6.163083520E-1
1.568802500E-1,4.447919936E-1,1.375911239E-1,2.440008008E-1,5.256497178E-1
1.668482500E-1,2.280231196E-1,3.257611748E-2,-1.122267795E-1,2.562237236E-1
1.768172500E-1,-3.044469774E-2,-1.784716398E-2,1.953554749E-2,4.033656528E-2
1.867862500E-1,-2.369562947E-1,-3.066736702E-2,9.176503301E-2,2.559484211E-1
1.967552500E-1,-3.354338947E-1,-1.907800287E-2,-9.492603779E-2,3.491286591E-1
2.067242500E-1,-3.202797390E-1,4.371089716E-2,-2.141911107E-1,3.877725953E-1
