time,accel_z
1678475681.802517,1
1678475681.8026361,20
1678475681.802803,1999
1678475681.8031201,7
1678475681.803144,11
1678475681.804569,3
1678475681.804776,19
1678475681.8049889,1991
1678475681.805089,13
1678475681.805262,11
1678475681.8054788,1996
1678475681.8055959,10
1678475681.8056479,1995
1678475681.805705,5
1678475681.806153,1995
1678475681.806238,2
1678475681.8066509,5
1678475681.806679,1984
1678475681.8068779,2
1678475681.806902,1990
1678475681.8072488,1992
1678475681.807285,7
1678475681.807302,1996
1678475681.807314,24
1678475681.807327,1992
1678475681.807348,1998
1678475681.807765,1997
1678475681.807795,2000
1678475681.80781,25
1678475681.807876,3
1678475681.8079,11
1678475681.807934,19
1678475681.80796,1990
1678475681.808049,1
1678475681.80807,19
1678475681.808129,3
1678475681.808146,6
1678475681.808158,1995
1678475681.808171,19
1678475681.808186,4
1678475681.808228,1994
1678475681.808255,16
1678475681.8082712,1
1678475681.808288,15
1678475681.8083,3
1678475681.808314,12
1678475681.808413,21
1678475681.808438,1996
1678475681.8084538,17
1678475681.8084679,1999
1678475681.808484,6
1678475681.808497,17
1678475681.808513,1993
1678475681.808527,8
1678475681.8085382,1994
1678475681.80855,1998
1678475681.8085608,1988
1678475681.808629,1993
1678475681.808656,7
1678475681.808671,1995
1678475681.8087208,5
1678475681.808803,1997
1678475681.808824,1
1678475681.808856,15
1678475681.808901,1992
1678475681.808949,5
1678475681.8089669,5
1678475681.808985,16
1678475681.8089979,8
1678475681.809101,1998
1678475681.8091269,6
1678475681.823859,12
1678475681.823887,2
1678475681.82391,12
1678475681.823982,1989
1678475681.824008,16
1678475681.8240252,1999
1678475681.824043,1994
1678475681.824215,17
1678475681.824268,5
1678475681.824312,7
1678475681.824394,1997
1678475681.8245142,14
1678475681.824558,9
1678475681.824657,3
1678475681.824736,25
1678475681.824779,1
1678475681.824793,2
1678475681.824809,18
1678475681.824822,1994
1678475681.825015,2
1678475681.825035,6
1678475681.825056,6
1678475681.8251038,1980
1678475681.825124,1989
1678475681.825182,25
1678475681.82522,1992
1678475681.8261068,1990
1678475681.826299,4
1678475681.826327,1986
1678475681.8263428,1999
1678475681.826509,1979
1678475681.826557,1995
1678475681.826591,1998
1678475681.826725,1992
1678475681.82675,1999
1678475681.826763,1
1678475681.826784,13
1678475681.8357198,3
1678475681.835743,2000
1678475681.835756,12
1678475681.8357708,9
1678475681.8357902,1996
1678475681.84405,26
1678475681.844069,12
1678475681.844107,2
1678475681.84413,28
1678475681.852057,1997
1678475681.852196,2
1678475681.852373,17
1678475681.8627598,15
1678475681.862821,1999
1678475681.862859,21
1678475681.87413,12
1678475681.8741639,1993
1678475681.874366,17
1678475681.87447,12
1678475681.874539,2000
1678475681.8746188,9
1678475681.8872771,7
1678475681.88739,6
1678475681.887488,9
1678475681.887672,2000
1678475681.8878348,16
1678475681.898069,1997
1678475681.898248,1991
1678475681.898279,6
1678475681.8983319,1996
1678475681.898356,12
1678475681.907646,1
1678475681.907742,11
1678475681.907774,33
1678475681.907836,3
1678475681.921567,14
1678475681.921597,2000
1678475681.921621,3
1678475681.922157,22
1678475681.922254,9
1678475681.9222882,15
1678475681.936574,8
1678475681.936606,10
1678475681.936627,7
1678475681.936739,1999
1678475681.9483762,24
1678475681.948416,10
1678475681.948446,2
1678475681.9484649,23
1678475681.948674,1990
1678475681.948695,1997
1678475681.948714,3
1678475681.9568288,13
1678475681.9568992,9
1678475681.9569888,2
1678475681.971473,7
1678475681.971503,1996
1678475681.97152,20
1678475681.9715772,1983
1678475681.98245,1
1678475681.9825048,9
1678475681.982601,1999
1678475681.9826329,9
1678475681.982676,8
1678475681.982864,22
1678475681.990998,12
1678475681.9910662,4
1678475681.9910889,12
1678475681.991105,17
1678475682.001641,11
1678475682.001765,26
1678475682.001802,20
1678475682.0018911,32
1678475682.0121899,36
1678475682.012213,39
1678475682.012296,36
1678475682.012594,46
1678475682.025153,40
1678475682.0252402,55
1678475682.025324,54
1678475682.025402,40
1678475682.025457,51
1678475682.025748,28
1678475682.0341692,42
1678475682.034249,51
1678475682.03427,51
1678475682.0432398,56
1678475682.043267,40
1678475682.043369,57
1678475682.0434618,34
1678475682.051841,40
1678475682.051988,58
1678475682.052029,68
1678475682.061505,38
1678475682.061692,45
1678475682.061719,55
1678475682.074839,44
1678475682.0749,51
1678475682.074922,56
1678475682.07494,36
1678475682.075061,34
1678475682.0750852,58
1678475682.085542,32
1678475682.0857458,35
1678475682.085783,56
1678475682.0859299,32
1678475682.093919,43
1678475682.0939462,26
1678475682.09406,6
1678475682.1656342,14
1678475682.165665,11
1678475682.165767,10
1678475682.1658602,7
1678475682.1658812,1982
1678475682.165895,7
1678475682.16591,1994
1678475682.165924,1982
1678475682.1659362,1996
1678475682.165948,2000
1678475682.1659598,6
1678475682.165974,1987
1678475682.165992,2
1678475682.166035,3
1678475682.166086,1985
1678475682.166107,20
1678475682.16612,1998
1678475682.166137,9
1678475682.166153,10
1678475682.166186,1
1678475682.166312,19
1678475682.1663308,1997
1678475682.166343,28
1678475682.166423,18
1678475682.1665092,1999
1678475682.1666582,33
1678475682.166719,17
1678475682.166751,10
1678475682.166764,12
1678475682.166879,8
1678475682.413852,1992
1678475682.4291131,4
1678475682.429143,1985
1678475682.4293308,1993
1678475682.429554,1990
1678475682.450706,1984
1678475682.450811,1994
1678475682.45084,1988
1678475682.45086,1994
1678475682.450876,1990
1678475682.451017,1990
1678475682.4510489,4
1678475682.461251,1984
1678475682.46129,1986
1678475682.461478,7
1678475682.461508,2000
1678475682.4615722,9
1678475682.461598,17
1678475682.461673,3
1678475682.472229,11
1678475682.472388,8
1678475682.472408,8
1678475682.472425,4
1678475682.472735,8
1678475682.487063,15
1678475682.4871209,2
1678475682.4873211,4
1678475682.497352,11
1678475682.4979148,1
1678475682.498657,5
1678475682.499634,2
1678475682.5002902,11
