time,accel_z
1678134029.475183,1
1678134029.475212,1
1678134029.4752269,2
1678134029.475244,2
1678134029.4752572,2
1678134029.475275,1
1678134029.47529,1
1678134029.475324,1
1678134029.4753642,2
1678134029.475392,2000
1678134029.4754088,3
1678134029.4754229,1
1678134029.475435,1
1678134029.475449,2
1678134029.475465,1
1678134029.475533,1
1678134029.475578,2
1678134029.475617,2
1678134029.475631,1
1678134029.4756749,2
1678134029.475698,1
1678134029.4757152,2
1678134029.4757361,2
1678134029.475749,2
1678134029.475765,2
1678134029.475788,1
1678134029.4758022,1
1678134029.475816,1
1678134029.573638,3
1678134029.573663,2000
1678134029.573678,2
1678134029.573709,1
1678134029.573771,1
1678134029.573784,2
1678134029.5737972,1
1678134029.574042,2000
1678134029.574157,1
1678134029.574173,2
1678134029.574187,2
1678134029.574199,2
1678134029.574212,1
1678134029.574225,1
1678134029.574236,1
1678134029.574253,2
1678134029.574265,2
1678134029.5742772,1
1678134029.5742888,1
1678134029.574301,2000
1678134029.574312,2
1678134029.5743291,2
1678134029.574399,2
1678134029.574421,2
1678134029.574435,1
1678134029.5744472,1
1678134029.5744798,2
1678134029.574502,1
1678134029.5745149,1
1678134029.574528,1
1678134029.574542,2
1678134029.5745542,1
1678134029.5745652,2
1678134029.5746932,2
1678134029.57472,2000
1678134029.574734,2
1678134029.5747478,1
1678134029.574761,1
1678134029.5747771,2
1678134029.585477,1
1678134029.585556,1
1678134029.5857,2
1678134029.585969,2
1678134029.58608,1
1678134029.586185,2
1678134029.586213,2
1678134029.586325,1
1678134029.586345,1
1678134029.586592,1
1678134029.5867,1
1678134029.586715,2
1678134029.586727,1
1678134029.586754,1
1678134029.5898,1
1678134029.5900009,2
1678134029.590349,2
1678134029.590409,1
1678134029.5904262,1
1678134029.590454,2
1678134029.5907168,1
1678134029.5907898,1
1678134029.590936,2
1678134029.591139,2
1678134029.591247,2
1678134029.591265,2000
1678134029.5912771,2
1678134029.5913758,1
1678134029.59139,2
1678134029.591406,2
1678134029.5927649,1
1678134029.592822,1
1678134029.592842,1
1678134029.5928571,2
1678134029.592874,1
1678134029.592887,2
1678134029.5929039,2
1678134029.592917,2000
1678134029.59295,1
1678134029.611257,1
1678134029.611315,1
1678134029.61133,2
1678134029.611351,2
1678134029.646671,2
1678134029.646823,1
1678134029.646909,1
1678134029.6469781,2
1678134029.646998,2000
1678134029.647073,1
1678134029.8166559,1
1678134029.81668,2
1678134029.816693,1
1678134029.816715,1
1678134029.8169332,2
1678134029.8169532,2
1678134029.816973,2000
1678134029.817423,1
1678134029.817452,1
1678134029.817473,2
1678134029.817486,1
1678134029.817497,2
1678134029.817652,2
1678134029.8176682,1
1678134029.8176901,1
1678134029.8187132,1
1678134031.685931,2
1678134031.6859698,1
1678134031.685986,2
1678134031.6860008,2
1678134031.686013,1
1678134031.6860569,1
1678134031.686079,1
1678134031.686094,1
1678134031.6861062,1
1678134031.686118,1
1678134031.6861298,2
1678134031.686141,1
1678134031.686153,2
1678134031.686164,1
1678134031.686192,2
1678134031.6862578,2
1678134031.686271,2000
1678134031.686283,1
1678134031.686295,1
1678134031.686307,1
1678134031.686319,1
1678134031.6863308,2
1678134031.686343,1
1678134031.6863549,2000
1678134031.6863701,2
1678134031.686382,2
1678134031.686393,2000
1678134031.686404,2
1678134031.6864152,1
1678134031.6864269,3
1678134031.6864378,2
1678134031.6864488,1
1678134031.68646,1
1678134031.686474,2
1678134031.686485,1
1678134031.686496,2000
1678134031.686507,2
1678134031.686518,2000
1678134031.686529,2
1678134031.68655,2
1678134031.686561,2
1678134031.6865711,2
1678134031.686584,1
1678134031.686594,2
1678134031.686605,1
1678134031.6866162,1
1678134031.6866271,1
1678134031.686638,2
1678134031.686659,2000
1678134031.68667,1
1678134031.686687,1
1678134031.686753,1
1678134031.686765,1
1678134031.686775,2
1678134031.686786,2
1678134031.6867971,1
1678134031.6868072,1
1678134031.6868212,1
1678134031.6868322,1
1678134031.686843,2
1678134031.686854,2
1678134031.686864,2
1678134031.6868749,2000
1678134031.686885,1
1678134031.686896,2
1678134031.6869068,2
1678134031.6869178,1
1678134031.6869278,2
1678134031.6869388,2
1678134031.686955,1
1678134031.686966,2
1678134031.686977,1
1678134031.686987,3
1678134031.6869981,1
1678134031.687008,2
1678134031.687019,1
1678134031.68703,1
1678134031.687045,1
1678134031.716597,1
1678134031.716613,2
1678134031.716625,2000
1678134031.71664,1
1678134031.728333,1
1678134031.728353,1987
1678134031.728367,1995
1678134031.728559,1983
1678134031.7467551,1987
1678134031.746836,5
1678134031.746848,9
1678134031.7468648,6
1678134031.746942,10
1678134031.7469609,6
1678134031.7469718,1
1678134031.7469928,1992
1678134031.9142962,1983
1678134031.91433,1976
1678134031.914346,1976
1678134031.9144242,1990
1678134031.914446,1999
1678134031.914481,1997
1678134031.9145129,6
1678134031.914578,9
1678134031.914597,8
1678134031.914716,13
1678134031.91473,15
1678134031.914743,15
1678134031.914756,9
1678134031.914778,17
1678134031.9148002,18
1678134031.914864,20
1678134031.914884,23
1678134031.915016,31
1678134031.915029,39
1678134031.9150422,47
1678134031.9150531,34
1678134031.915085,26
1678134031.9150999,37
1678134031.915113,21
1678134031.915141,4
1678134031.915154,1
1678134031.915166,1999
1678134031.9151769,1993
1678134031.915187,1987
1678134031.915203,1987
1678134031.915214,1988
1678134031.915225,1993
1678134031.915348,2000
1678134031.915366,4
1678134031.9153779,11
1678134031.9153888,28
1678134031.9154,40
1678134031.9154198,41
1678134031.915431,36
1678134031.915683,35
1678134031.9156969,20
1678134031.915714,14
1678134031.933316,1979
1678134031.933333,1976
1678134031.933345,1980
1678134031.933356,1987
1678134031.933367,1985
1678134031.9333818,1993
1678134031.933446,4
1678134031.933462,13
1678134031.933527,18
1678134031.933541,24
1678134031.933553,23
1678134031.93364,4
1678134031.933655,1991
1678134031.933669,1984
1678134031.933681,1964
1678134031.933834,1970
1678134031.933847,1966
1678134031.933859,1968
1678134031.93387,1973
1678134031.933905,1975
1678134031.933923,1986
1678134031.9339468,2
1678134031.933959,1999
1678134031.933974,14
1678134031.933986,23
1678134031.9339972,33
1678134031.9340081,48
1678134031.934029,58
1678134031.934119,48
1678134031.934137,53
1678134031.93415,53
1678134031.934161,57
1678134031.9341729,55
1678134031.934314,45
1678134031.946979,21
1678134031.947045,1997
1678134031.947061,1994
1678134031.947072,1991
1678134031.947092,1995
1678134031.947158,1989
1678134031.947169,1988
1678134031.9471931,1984
1678134032.0559978,1977
1678134032.056022,1978
1678134032.0573802,1983
1678134032.057395,1994
1678134032.057406,1987
1678134032.05742,1993
1678134032.057431,1989
1678134032.0574489,1
1678134032.057514,1995
1678134032.057527,1
1678134032.057539,11
1678134032.057558,28
1678134032.09243,31
1678134032.092449,7
1678134032.092462,18
1678134032.0924742,1998
1678134032.092505,5
1678134032.0925188,3
1678134032.092594,9
1678134032.092614,1
1678134032.0926552,1964
1678134032.092672,1952
1678134032.092685,1942
1678134032.0926971,1934
1678134032.092708,1919
1678134032.09272,1928
1678134032.092731,1958
1678134032.092742,1979
1678134032.092753,21
1678134032.092769,30
1678134032.09278,30
1678134032.092791,32
1678134032.092813,33
1678134032.092824,46
1678134032.0928361,64
1678134032.09286,50
1678134032.092881,27
1678134032.0929751,1
1678134032.0929868,1990
1678134032.092999,1979
1678134032.093023,1971
1678134032.093038,1956
1678134032.093059,1953
1678134032.093072,1949
1678134032.0930848,1954
1678134032.093096,1967
1678134032.093108,1980
1678134032.093119,1995
1678134032.093138,6
1678134032.1372669,4
1678134032.137291,46
1678134032.137304,50
1678134032.137323,60
1678134032.137336,68
1678134032.1373482,60
1678134032.137365,52
1678134032.137461,43
1678134032.137473,34
1678134032.137484,23
1678134032.137496,7
1678134032.137506,1989
1678134032.137517,1971
1678134032.1375308,1962
1678134032.137541,1974
1678134032.1375518,1978
1678134032.137571,1985
1678134032.13764,1985
1678134032.137652,1980
1678134032.1376781,9
1678134032.137701,1997
1678134032.161835,1932
1678134032.161852,1935
1678134032.161864,1957
1678134032.161876,1974
1678134032.161888,1994
1678134032.1619048,26
1678134032.162113,48
1678134032.162129,67
1678134032.1621408,66
1678134032.162158,65
1678134032.162171,50
1678134032.162278,39
1678134032.162358,25
