"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.900624994E-3,1.587151406E-1,-1.441990257E-1,6.959513944E-1,7.282391079E-1
1.586962500E-2,2.888225411E-1,-1.382358890E-1,6.264350170E-1,7.035257293E-1
2.583962498E-2,4.479508423E-1,-1.525173570E-1,1.694055319E-1,5.026129082E-1
3.580962500E-2,1.874973287E-1,-2.395001990E-1,-2.847606302E0,2.863804680E0
4.577962498E-2,-2.227741290E-1,1.573040978E-1,-1.551710701E0,1.575493253E0
5.574862499E-2,-3.101512286E-1,4.866184428E-1,1.251193053E0,1.377851715E0
6.571862500E-2,-1.505549492E-1,6.137385100E-2,5.372854435E-1,5.613458739E-1
7.568862499E-2,-1.228475889E-1,-2.669398664E-1,-1.089101218E0,1.128046934E0
8.565862500E-2,-1.892481313E-1,-1.510030377E-1,1.563416827E-1,2.882004413E-1
9.562862499E-2,-1.582700578E-2,-5.258221965E-2,4.815737575E-1,4.846944067E-1
1.055976250E-1,5.202297002E-2,-7.029172738E-2,1.188341331E-1,1.475427652E-1
1.155676250E-1,7.574638473E-2,4.072692140E-2,5.346237910E-1,5.414968096E-1
1.255376250E-1,1.693673240E-1,-1.841732917E-2,-1.299075902E-1,2.142439507E-1
1.355076250E-1,1.678305295E-1,-5.938206551E-2,-9.162750649E-1,9.334095087E-1
1.454766250E-1,7.040997818E-2,1.592774600E-1,4.181414080E-1,4.529559707E-1
1.554466250E-1,2.953923812E-2,1.291469953E-1,2.236244237E-1,2.599219034E-1
1.654166250E-1,-6.300283503E-3,-1.313650543E-1,-5.175493366E-1,5.339979277E-1
1.753866250E-1,-6.680582754E-2,-8.319016434E-2,9.680884123E-2,1.440679485E-1
1.853571250E-1,-3.221395556E-2,2.253409561E-2,4.046472037E-1,4.065524368E-1
1.953261250E-1,-3.371358365E-2,-2.385341476E-2,1.807941538E-1,1.854511180E-1
2.052961250E-1,-4.637901820E-2,-7.453456299E-2,-4.563564706E-1,4.647231893E-1
2.152661250E-1,-6.002943451E-2,-1.975793812E-2,-8.568919122E-2,1.064732202E-1
2.252361250E-1,1.742380729E-2,3.460811171E-2,3.542085367E-1,3.563214812E-1
2.352051250E-1,1.020487687E-1,-6.255157159E-3,-1.468107212E-1,1.789035104E-1
2.451751250E-1,2.154181855E-2,-2.177860109E-2,-1.747808772E-1,1.774449561E-1
2.551451250E-1,5.397199318E-3,-2.496679999E-2,1.947818631E-1,1.964495993E-1
2.651151250E-1,6.089345198E-3,-2.421807545E-2,1.320137572E-1,1.343548563E-1
2.750851250E-1,1.589055771E-2,-1.328642713E-5,-1.557019973E-1,1.565107727E-1
2.850541250E-1,-4.906298155E-2,-3.497248233E-3,-1.096914268E-1,1.202148743E-1
2.950241250E-1,-8.606059905E-3,-1.559946459E-2,6.303590834E-2,6.550521584E-2
3.049941250E-1,-3.834620470E-2,1.367126071E-2,2.255809021E-1,2.292249510E-1
3.149641250E-1,9.492369890E-3,-3.439117544E-2,-2.428950924E-1,2.455012911E-1
3.249331250E-1,2.128094137E-2,1.542155163E-3,-5.429432094E-2,5.833635226E-2
3.349031250E-1,-3.083119869E-2,-1.384255444E-2,3.300852638E-1,3.318108807E-1
3.448731250E-1,3.525103591E-2,-5.556672075E-2,-2.445644724E-1,2.532628618E-1
3.548431250E-1,3.357902460E-2,-2.315074846E-2,-4.471482754E-2,6.052209389E-2
3.648131250E-1,9.762944313E-2,7.108974441E-2,2.456584865E-1,2.737395695E-1
3.747821250E-1,1.111840382E-1,-2.122851514E-2,-1.617860252E-1,1.974519135E-1
3.847521250E-1,3.601607099E-2,-1.852577675E-2,4.119772732E-2,5.777209110E-2
3.947221250E-1,7.787120808E-3,3.356501412E-2,3.320692241E-2,4.785341283E-2
4.046921250E-1,-2.361567976E-2,-1.391240354E-2,-1.260326403E-1,1.289786096E-1
4.146611250E-1,-1.219820182E-1,-3.235308275E-2,3.995753288E-2,1.323742391E-1
4.246311250E-1,-3.318495881E-2,-6.037622921E-2,-2.545585334E-2,7.344747112E-2
4.346011250E-1,-3.255201599E-2,-3.348006047E-2,1.706287694E-1,1.769031519E-1
4.445711250E-1,5.472703317E-2,-1.921236321E-3,-6.872466445E-2,8.787388015E-2
4.545401250E-1,5.498142360E-2,2.659442500E-2,4.745366335E-2,7.734384621E-2
4.645101250E-1,2.259093694E-2,1.329641079E-2,-9.997686267E-2,1.033562675E-1
4.744801250E-1,4.522437584E-3,3.026405075E-2,1.148223585E-1,1.188298751E-1
4.844501250E-1,5.140967019E-2,3.612715438E-2,-8.561785519E-2,1.062004831E-1
4.944201250E-1,4.903670562E-2,6.284615706E-2,1.222524154E-1,1.459448219E-1
5.043891250E-1,1.593322411E-2,6.913898536E-2,-1.224868888E-1,1.415524809E-1
5.143591250E-1,-1.047972707E-2,-1.593292490E-2,-2.794489610E-1,2.800989193E-1
5.243291250E-1,1.048871716E-2,1.567584727E-2,2.501368690E-1,2.508469625E-1
5.342991250E-1,-3.878622595E-3,5.042320151E-3,1.836341465E-1,1.837443018E-1
5.442681250E-1,5.136506690E-2,-4.491604028E-2,-2.073188782E-1,2.182588784E-1
5.542381250E-1,4.189641478E-2,-1.827231480E-2,6.136068106E-3,4.611765812E-2
