"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.046916675E-3,-4.587750982E-2,7.870878518E-2,1.398987275E-1,1.669475149E-1
1.901691669E-2,3.004032623E-2,8.569704842E-2,6.605599523E-2,1.122933650E-1
2.898691667E-2,2.401879046E-2,2.496800370E-2,1.183242559E-2,3.661024173E-2
3.895691669E-2,5.833467387E-2,-7.968914397E-3,-1.541232491E-1,1.649861014E-1
4.892691667E-2,-1.344983853E-2,-4.401313425E-3,2.473956943E-3,1.436628621E-2
5.889591668E-2,-3.192415293E-2,-2.141397238E-2,1.130904132E-1,1.194451812E-1
6.886591669E-2,1.714812934E-2,-3.233672881E-2,-2.433494210E-2,4.395351838E-2
7.883591668E-2,6.709577635E-2,-2.668899458E-2,-9.800518155E-3,7.287109023E-2
8.880591669E-2,2.605150189E-2,-8.548078252E-3,-6.652552664E-2,7.195412488E-2
9.877591667E-2,-2.026626673E-2,3.554864549E-2,1.027303165E-1,1.105800420E-1
1.087459167E-1,-4.030960836E-3,2.954509676E-2,-3.738768160E-2,4.782259009E-2
1.187159167E-1,9.989785217E-3,7.529900421E-3,-7.553023875E-2,7.655920699E-2
1.286849167E-1,2.354235202E-2,-1.099263523E-2,-2.533072293E-2,3.628671785E-2
1.386549167E-1,-3.720108233E-3,6.909463446E-3,4.486100793E-2,4.554217740E-2
1.486249167E-1,1.751449395E-2,-1.735785024E-2,6.206351638E-2,6.678272627E-2
1.585949167E-1,4.225625608E-2,-7.223323595E-3,-6.038361132E-2,7.405368389E-2
1.685649167E-1,3.107422359E-2,7.807860151E-4,3.766074657E-2,4.883184239E-2
1.785349167E-1,-1.079688370E-2,1.829996687E-2,-3.944356263E-2,4.480241197E-2
1.885039167E-1,-2.348782673E-2,3.620623912E-3,3.000381768E-2,3.827552740E-2
1.984739167E-1,7.233809754E-3,-6.306021083E-3,-7.908885419E-2,7.966894478E-2
2.084439167E-1,1.091879815E-2,-2.019995565E-2,1.118864715E-2,2.554298703E-2
2.184139167E-1,9.786850289E-3,-3.473834816E-3,3.078851402E-2,3.249280786E-2
2.283839167E-1,5.724716485E-3,4.151271866E-4,5.180048347E-3,7.731598171E-3
2.383539167E-1,3.505299803E-2,1.262360641E-2,-4.380733967E-3,3.751345012E-2
2.483239167E-1,1.535332650E-2,1.189512099E-2,-5.135960340E-2,5.490926516E-2
2.582929167E-1,4.438036680E-4,2.122000470E-2,3.994174540E-2,4.523083668E-2
2.682629167E-1,1.252356648E-2,9.729817095E-3,-1.964547515E-2,2.524784648E-2
2.782329167E-1,5.990216620E-3,-1.136235057E-2,2.301347136E-2,2.635537080E-2
2.882029167E-1,1.993337743E-2,-1.545981206E-2,-4.193915427E-2,4.894116862E-2
2.981729167E-1,-1.087487094E-2,-3.889291480E-3,2.257551491E-2,2.535829805E-2
3.081429167E-1,4.375617653E-3,-1.844846788E-3,1.748668313E-2,1.811997727E-2
3.181119167E-1,1.392349955E-2,-1.491327556E-2,-2.920859635E-2,3.562880475E-2
3.280819167E-1,2.797315277E-2,8.999269740E-3,-2.869228721E-3,2.952484725E-2
3.380519167E-1,1.115107879E-2,6.740663923E-3,-5.723839402E-3,1.423184618E-2
3.480219167E-1,9.822627939E-3,-1.153271925E-3,2.151249111E-2,2.367702113E-2
3.579919167E-1,-3.874255456E-3,-9.191023582E-3,-2.383383572E-2,2.583672764E-2
3.679619167E-1,9.019549415E-3,6.046843249E-3,5.654257536E-3,1.224284335E-2
3.779319167E-1,-4.832175560E-3,1.629063974E-2,5.495213270E-3,1.785867387E-2
3.879009167E-1,2.142171308E-2,1.587403704E-2,5.192912221E-3,2.716323215E-2
3.978709167E-1,2.796025235E-2,-6.484694635E-3,-1.754457057E-2,3.363984144E-2
4.078409167E-1,3.262644008E-2,-8.766104593E-3,-3.758473277E-2,5.053653450E-2
4.178109167E-1,1.698064316E-2,5.248287180E-4,3.561655998E-2,3.946082909E-2
4.277809167E-1,1.669076744E-2,-1.417106746E-2,-8.242819905E-3,2.339540448E-2
4.377509167E-1,7.584350333E-3,-1.310549235E-2,1.284925640E-2,1.985899518E-2
4.477209167E-1,-3.596512713E-3,2.076316585E-3,-1.469522238E-2,1.527074180E-2
4.576899167E-1,-3.688752539E-3,6.992210113E-3,-2.266965508E-3,8.224173525E-3
4.676599167E-1,4.653872028E-3,-2.628661478E-3,-1.946713507E-2,2.018756384E-2
4.776299167E-1,2.523735020E-2,4.049196839E-5,-1.406840086E-2,2.889369114E-2
4.875999167E-1,3.005951241E-2,9.493575878E-3,1.467651129E-2,3.477214766E-2
4.975699167E-1,3.811430778E-2,-4.882230924E-3,-6.141915321E-3,3.891349073E-2
5.075399167E-1,2.739559405E-2,-1.431827797E-3,-2.857534289E-3,2.758141052E-2
5.175089167E-1,-6.218586937E-3,3.852538532E-5,-2.306200325E-2,2.388573427E-2
5.274789167E-1,-9.323092997E-3,-9.449006848E-3,1.332346559E-2,1.880740622E-2
5.374489167E-1,6.868249141E-3,8.695275625E-3,-1.825559199E-2,2.135526407E-2
5.474163333E-1,2.045878630E-2,1.031471682E-2,8.832803965E-3,2.455552373E-2
5.573863334E-1,2.227058262E-2,1.354253974E-3,1.093429327E-2,2.484696406E-2
5.673563333E-1,1.837659281E-2,-9.841019260E-3,-4.770158529E-3,2.138455601E-2
5.773263334E-1,8.532074355E-3,-2.126334947E-2,9.005881548E-3,2.461772179E-2
5.872953334E-1,6.945395842E-3,-5.623445450E-4,-1.240194440E-2,1.422543425E-2
5.972653333E-1,1.798062667E-2,9.798695468E-3,-5.377684236E-3,2.117160495E-2
6.072353334E-1,9.951595590E-3,2.328336605E-2,-1.540916741E-2,2.964104974E-2
6.172053333E-1,-4.710918926E-3,1.007578725E-2,-3.122413158E-3,1.155264947E-2
6.271753334E-1,1.496594846E-3,-1.190424356E-2,-1.732646942E-2,2.107504101E-2
6.371453333E-1,1.042664532E-2,-1.516747184E-2,4.560828209E-5,1.840568430E-2
6.471143333E-1,2.418700755E-2,-7.938090891E-3,7.830006480E-3,2.663331790E-2
6.570843334E-1,1.037058514E-2,1.234172493E-2,6.344228983E-4,1.613287646E-2
6.670543333E-1,1.011681598E-2,8.464899897E-3,3.775547147E-3,1.372075989E-2
6.770243334E-1,1.090615354E-3,-5.741499821E-3,-2.286085904E-2,2.359604073E-2
6.869943333E-1,-3.704733711E-2,2.786655072E-2,4.830384851E-3,4.660882377E-2
6.969643334E-1,7.368880436E-3,1.324087823E-2,-1.326733232E-2,2.014058991E-2
7.069333333E-1,5.403890725E-2,-2.062813857E-2,-3.614280939E-2,6.820576419E-2
7.169033333E-1,1.019670356E-2,-4.485899795E-2,5.144380331E-2,6.901280576E-2
7.268733334E-1,1.074023880E-2,-2.330614050E-2,4.452830136E-2,5.139356512E-2
7.368433333E-1,2.272809070E-2,9.274115714E-3,2.024598420E-2,3.181941554E-2
7.468133334E-1,2.374221716E-2,2.294143641E-2,-7.332116067E-2,8.041141077E-2
7.567833333E-1,1.567506954E-2,4.931855056E-2,-4.366408288E-2,6.770952199E-2
7.667533334E-1,-3.060940649E-2,2.341074627E-2,-8.329943419E-3,3.942571197E-2
7.767223333E-1,-9.074659422E-3,-3.400454201E-2,-3.363318443E-3,3.535491807E-2
7.866923333E-1,2.445718545E-2,-5.045081362E-2,-4.940897226E-4,5.606855304E-2
7.966623333E-1,3.313993525E-2,-2.746753764E-2,2.540205896E-2,4.997985126E-2
8.066323333E-1,1.471725907E-2,1.176889194E-3,3.464475274E-2,3.765954959E-2
8.166023334E-1,2.878679283E-2,6.045399718E-3,-2.569266558E-2,3.905559324E-2
8.265723333E-1,2.613902740E-2,8.699558254E-3,-3.779347837E-2,4.676834479E-2
8.365413334E-1,-1.317348450E-2,2.410427858E-3,-2.100553751E-2,2.491151265E-2
8.465113333E-1,-2.155627213E-2,3.838100934E-3,2.479921103E-2,3.308178887E-2
8.564813334E-1,8.290145807E-3,-1.288030831E-2,2.672996163E-2,3.080778649E-2
8.664513333E-1,2.447852779E-2,-7.637365849E-3,2.030153275E-3,2.572254269E-2
8.764213333E-1,5.569180548E-3,9.736463735E-3,1.266039133E-2,1.691449103E-2
8.863913333E-1,1.676078785E-2,1.925592039E-2,-7.396143079E-3,2.657851411E-2
8.963613333E-1,1.307470310E-2,1.591000655E-2,-2.355258465E-2,3.128578612E-2
9.063303334E-1,1.204190210E-2,1.253397042E-2,-4.224028587E-3,1.788715288E-2
9.163003333E-1,1.010362320E-3,-9.238280961E-3,1.808426857E-2,2.033242329E-2
9.262703334E-1,7.293268628E-3,-1.062757940E-2,2.181362271E-2,2.533715349E-2
