time,accel_z
1678478220.759419,3
1678478220.759455,5
1678478220.759496,4
1678478220.7595258,4
1678478220.759638,4
1678478220.759661,4
1678478220.759688,4
1678478220.759706,4
1678478220.7597198,4
1678478220.7597592,4
1678478220.759774,3
1678478220.7597902,4
1678478220.759804,4
1678478220.7598279,4
1678478220.759892,3
1678478220.760007,4
1678478220.760021,4
1678478220.760038,3
1678478220.760177,4
1678478220.7602031,4
1678478220.7602339,4
1678478220.76025,4
1678478220.760266,3
1678478220.760278,4
1678478220.7602901,3
1678478220.760302,4
1678478220.760313,4
1678478220.760326,4
1678478220.760365,4
1678478220.760385,4
1678478220.760396,4
1678478220.760417,4
1678478220.7604868,4
1678478220.760554,4
1678478220.760567,4
1678478220.7605782,4
1678478220.7605891,3
1678478220.760601,4
1678478220.7606132,4
1678478220.760631,4
1678478220.760679,3
1678478222.19255,4
1678478222.192586,4
1678478222.192702,4
1678478222.192724,4
1678478222.192738,3
1678478222.1927512,4
1678478222.1927621,3
1678478222.19278,3
1678478222.192843,4
1678478222.1928551,4
1678478222.192866,5
1678478222.192877,3
1678478222.192888,3
1678478222.192899,4
1678478222.1929102,3
1678478222.192922,5
1678478222.192933,3
1678478222.1929479,3
1678478222.19296,4
1678478222.192971,4
1678478222.192982,4
1678478222.192994,4
1678478222.1930099,4
1678478222.193072,4
1678478222.193084,4
1678478222.193095,3
1678478222.193106,4
1678478222.19312,4
1678478222.193132,5
1678478222.193144,4
1678478222.193155,3
1678478222.1931689,3
1678478222.193182,4
1678478222.193194,4
1678478222.193206,3
1678478222.1932669,4
1678478222.193294,4
1678478222.193311,4
1678478222.1934662,4
1678478222.193484,3
1678478222.193496,4
1678478222.193778,4
1678478222.193803,4
1678478222.193872,1
1678478222.193887,2000
1678478222.1939032,1998
1678478222.193918,1994
1678478222.193931,1993
1678478222.193943,1992
1678478222.1939552,1991
1678478222.1940758,1991
1678478222.194092,1991
1678478222.194104,1991
1678478222.1941152,1992
1678478222.1941278,1994
1678478222.19414,1997
1678478222.194952,2000
1678478222.1949792,3
1678478222.194995,6
1678478222.195008,8
1678478222.1950212,10
1678478222.195036,10
1678478222.1950479,8
1678478222.195059,4
1678478222.1950731,1
1678478222.195094,1995
1678478222.1951082,1990
1678478222.195138,1988
1678478222.195153,1989
1678478222.195165,1984
1678478222.195192,1984
1678478222.1952052,1989
1678478222.195217,1997
1678478222.195271,6
1678478222.195286,11
1678478222.195298,12
1678478222.195321,20
1678478222.297844,12
1678478222.298055,9
1678478222.298069,17
1678478222.298147,17
1678478222.3075562,9
1678478222.307631,1
1678478222.307654,1999
1678478222.3077388,2
1678478222.307755,5
1678478222.30778,8
1678478222.314271,7
1678478222.314334,10
1678478222.3227892,12
1678478222.322855,12
1678478222.3228722,12
1678478222.331779,9
1678478222.331846,5
1678478222.331857,1
1678478222.331872,1998
1678478222.425518,1997
