time,accel_z
1678660872.06619,15
1678660872.0662131,15
1678660872.069081,15
1678660872.069108,16
1678660872.069123,15
1678660872.0691369,15
1678660872.0698051,14
1678660872.070116,14
1678660872.070334,12
1678660872.070585,12
1678660872.071841,10
1678660872.071863,8
1678660872.071878,6
1678660872.072002,4
1678660872.0720341,4
1678660872.072868,2
1678660872.072885,2
1678660872.0729,2000
1678660872.072913,1
1678660872.072926,2000
1678660872.072939,1999
1678660872.072952,2000
1678660872.0729852,1999
1678660872.0737731,1998
1678660872.073789,1999
1678660872.073803,1998
1678660872.073816,1999
1678660872.07383,1998
1678660872.073847,1998
1678660872.073863,1997
1678660872.074563,1996
1678660872.074611,1994
1678660872.074631,1994
1678660872.074649,1992
1678660872.074666,1991
1678660872.074682,1991
1678660872.074699,1989
1678660872.075358,1987
1678660872.075453,1987
1678660872.0754719,1985
1678660872.075489,1985
1678660872.076048,1984
1678660872.076063,1985
1678660872.076086,1984
1678660872.076201,1983
1678660872.0762188,1984
1678660872.076237,1984
1678660872.076254,1985
1678660872.076281,1986
1678660872.0769951,1987
1678660872.077146,1988
1678660872.077614,1989
1678660872.088484,1990
1678660872.088507,1991
1678660872.088532,1991
1678660872.0885491,1991
1678660872.088566,1991
1678660872.088589,1991
1678660872.088604,1990
1678660872.08862,1989
1678660872.0886421,1988
1678660872.088656,1987
1678660872.0886688,1985
1678660872.088685,1984
1678660872.0898821,1982
1678660872.089969,1982
1678660872.090004,1981
1678660872.090613,1980
1678660872.090629,1979
1678660872.090642,1978
1678660872.090722,1978
1678660872.090859,1978
1678660872.0908759,1977
1678660872.09089,1978
1678660872.090932,1977
1678660872.091465,1977
1678660872.091485,1977
1678660872.091541,1977
1678660872.091559,1977
1678660872.093803,1978
1678660872.094486,1979
1678660872.094508,1980
1678660872.094547,1981
1678660872.094563,1983
1678660872.094597,1985
1678660872.095138,1986
1678660872.095252,1988
1678660872.0952718,1989
1678660872.11329,1991
1678660872.1133099,1992
1678660872.1133282,1993
1678660872.114816,1993
1678660872.1153011,1993
1678660872.115326,1993
1678660872.115577,1993
1678660872.11663,1993
1678660872.116653,1992
1678660872.117459,1991
1678660872.127726,1992
1678660872.127811,1991
1678660872.1278322,1990
1678660872.128099,1991
1678660872.12813,1990
1678660872.128216,1991
1678660872.12967,1990
1678660872.140928,1992
1678660872.141006,1992
1678660872.14111,1992
1678660872.1411939,1993
1678660872.1426198,1994
1678660872.153867,1994
1678660872.1541271,1995
1678660872.154143,1996
1678660872.154162,1998
1678660872.154248,1999
1678660872.154271,1
1678660872.1719282,1
1678660872.172235,3
1678660872.172385,4
1678660872.17241,6
